mot,cos_1978,jacc_1978,cos_1981,jacc_1981,cos_1988,jacc_1988,cos_1993,jacc_1993,drift_moyen
laisse,0.6071,1.0,0.6758,1.0,0.6203,1.0,0.5765,1.0,0.6199
privé,0.5695,1.0,0.5283,1.0,0.6828,1.0,0.6987,1.0,0.6198
signe,0.5437,0.9474,0.6148,0.8889,0.6441,1.0,0.6761,1.0,0.6197
livrer,0.4377,0.9474,0.6263,0.9474,0.7535,0.9474,0.6605,1.0,0.6195
prolonger,0.5657,1.0,0.6469,1.0,0.6292,1.0,0.6354,1.0,0.6193
montre,0.6158,0.9474,0.6174,1.0,0.6931,1.0,0.5487,0.9474,0.6188
rouen,0.6471,1.0,0.6528,1.0,0.5845,0.9474,0.5905,0.9474,0.6187
intellectuel,0.4859,0.8889,0.5959,0.9474,0.726,1.0,0.6665,1.0,0.6186
prétendre,0.5517,1.0,0.5907,1.0,0.712,0.9474,0.6202,1.0,0.6186
revoir,0.603,1.0,0.7106,1.0,0.6532,0.9474,0.5073,0.9474,0.6185
certitude,0.5333,1.0,0.7084,1.0,0.5716,1.0,0.6598,1.0,0.6183
contenir,0.512,0.8889,0.5871,0.9474,0.5125,0.9474,0.8578,1.0,0.6173
plateau,0.6047,0.9474,0.6846,0.8889,0.6055,0.9474,0.5731,0.75,0.617
péril,0.5753,1.0,0.6139,1.0,0.6635,1.0,0.6151,1.0,0.6169
prison,0.5133,1.0,0.6776,1.0,0.6627,0.9474,0.613,1.0,0.6166
direction,0.5982,1.0,0.6531,0.8889,0.5997,0.9474,0.6143,0.8889,0.6163
maîtriser,0.649,1.0,0.693,0.9474,0.4853,0.9474,0.6381,1.0,0.6163
instaurer,0.5359,1.0,0.6562,1.0,0.6687,0.9474,0.6044,1.0,0.6163
vent,0.5787,1.0,0.5247,1.0,0.6806,1.0,0.6798,1.0,0.616
alternative,0.5096,1.0,0.8016,1.0,0.653,1.0,0.4989,1.0,0.6158
mans,0.5684,0.8235,0.5188,0.9474,0.6213,0.8889,0.7542,1.0,0.6157
espérer,0.5973,1.0,0.5161,1.0,0.7033,1.0,0.6462,0.9474,0.6157
adopter,0.5023,1.0,0.623,1.0,0.7464,0.9474,0.5906,1.0,0.6156
